Feature,Odds_Ratio,Coefficient
No of Rental in arrears,36.529382985696564,3.5981169500457795
ArrearsCapital,6.414427906917613,1.858549813563518
NET-OUTSTANDING,2.6693868430879246,0.9818487992557491
Age,2.406677191656204,0.8782470374914132
FlatRate,1.767574096324261,0.569608039451215
Effective Rate,1.2485910182832585,0.22201573018959897
Tenor,1.2039088535250622,0.18557364096873458
ArrearsInsuEasyPay,1.051155395447246,0.049889935815263964
NetRental,1.0375433194047676,0.03685572589420676
arrears_intensity,1.0311262075873577,0.030651610333830286
DownPayment,1.0245796397620919,0.02428242092409305
ArrearsOD,1.011833474681577,0.011764006615416114
ArrearsInsu,0.9997349766521169,-0.00026505847277665765
Branch,0.9915249722782863,-0.008511144977091104
Last Receipt Paid Amount,0.9866510300855273,-0.013438868344009595
AdvanceRental,0.9748002398791785,-0.025522711150711457
ArrearsSundry,0.9657849372112226,-0.03481410184238443
Equipment Type,0.9544829536233561,-0.04658549493509954
FacilityAmount,0.9485655320601906,-0.05280440178789786
SchemeType,0.9420387857722696,-0.05970883139748142
Granted Date,0.8966508829743357,-0.10908869784014241
ArrearsOther,0.862194098557439,-0.14827486132551396
Advance,0.8523826017927865,-0.15971978981442306
Status,0.8076526510828609,-0.21362320016275282
ArrearsInterest,0.2057273783805415,-1.581203392587245
